ID;NOME ACADEMIA AO AR LIVRE;x;y;V mais próx;Dist do V
1;ACADEMIA AO AR LIVRE DO PARQUE LINEAR CAJURU;681080;7184522;1013;17,2626765
2;ACADEMIA AO AR LIVRE DO CONJUNTO RESIDENCIAL MERCURIO;680700;7180992;769;30,01666204
3;ACADEMIA AO AR LIVRE DA MORADIAS CAJURU;678481;7184304;62;44,38468204
4;ACADEMIA AO AR LIVRE DA RUA PAULO DE FRONTIN;679634;7182702;373;67,11929678
5;ACADEMIA AO AR LIVRE DA RUA DA CIDADANIA CAJURU;679045;7185012;183;32,14031736
6;ACADEMIA AO AR LIVRE DO PARQUE DOS PELADEIROS;681654;7180668;1325;84,17244205
7;ACADEMIA AO AR LIVRE DA PRACA PROFESSOR EMILIO SCHUTZ;679397;7183599;295;24,18677324
8;ACADEMIA AO AR LIVRE DA RUA OSIRIS DEL CORSO;681135;7182047;1011;81,46778504
9;ACADEMIA AO AR LIVRE DA PRACA WALT DISNEY;679184;7184290;207;21,47091055
10;ACADEMIA AO AR LIVRE DO PARQUE LINEAR CAJURU;681693;7182949;1353;48,3011387
11;ACADEMIA AO AR LIVRE DA AVENIDA FLORIANOPOLIS;679751;7183043;405;36,23534186
12;ACADEMIA AO AR LIVRE DA VILA ACROPOLE;682008;7181772;1438;21,40093456
